 DECAY0 generated file: test2nukb+                              

  date and hour         :    4. 6.2019    10:29:42
  initial random number :            0
    
  event type: Xe124           
              2nuKb+    0+ -> 0+, 2+           
              level, Elevel (MeV) =  0+       0.0000     MeV
    
 Format of data:
  for each event    - event's number,
                      time of event's start, 
                      number of emitted particles;
  for each particle - GEANT number of particle,
                      x,y,z components of momentum,
                      time shift from previous time
    
 Time - in sec, momentum - in MeV/c
    
 First event and full number of events:
     111  0.00000       2
  2  0.134015      0.921136E-02  0.575069      0.00000    
  1 -0.169623E-01 -0.214555E-01  0.162230E-01  0.00000    
     112  0.00000       2
  2  0.268297      0.193163     -0.443345      0.00000    
  1  0.153193E-01  0.271123E-01  0.644049E-02  0.00000    
     113  0.00000       2
  2  0.382470      0.498779      0.487470      0.00000    
  1 -0.166168E-01 -0.236412E-01 -0.132746E-01  0.00000    
     114  0.00000       2
  2 -0.678348     -0.303478     -0.513786      0.00000    
  1  0.316544E-01  0.225549E-02 -0.203794E-02  0.00000    
     115  0.00000       2
  2 -0.470551      0.109108      0.285376      0.00000    
  1 -0.154251E-01  0.276608E-01 -0.286153E-02  0.00000    
     116  0.00000       2
  2  0.752698     -0.690568      0.124555      0.00000    
  1 -0.791699E-02 -0.307971E-01 -0.317973E-03  0.00000    
     117  0.00000       2
  2  0.126589     -0.792251      0.303366      0.00000    
  1  0.316217E-01  0.228800E-02 -0.246384E-02  0.00000    
     118  0.00000       2
  2 -0.565621      0.200901      0.438271E-01  0.00000    
  1  0.206746E-01  0.191569E-01  0.147246E-01  0.00000    
     119  0.00000       2
  2 -0.142321E-01 -0.871083      0.379076      0.00000    
  1 -0.101387E-01  0.258599E-01  0.154827E-01  0.00000    
     120  0.00000       2
  2  0.429676      0.524950     -0.177957      0.00000    
  1 -0.211526E-01  0.209601E-01  0.111573E-01  0.00000    
     121  0.00000       2
  2  0.162263      0.446957      0.254986      0.00000    
  1 -0.229963E-01 -0.212941E-01 -0.538226E-02  0.00000    
     122  0.00000       2
  2  0.686707      0.125507     -0.425651      0.00000    
  1 -0.148417E-02 -0.457921E-02  0.314336E-01  0.00000    
     123  0.00000       2
  2 -0.434730     -0.586150     -0.858623      0.00000    
  1 -0.141308E-01  0.223838E-01 -0.176218E-01  0.00000    
     124  0.00000       2
  2  0.302552      0.258753      -1.23384      0.00000    
  1 -0.313578E-01  0.372293E-02  0.375104E-02  0.00000    
     125  0.00000       2
  2  0.257809     -0.993047     -0.358480      0.00000    
  1 -0.144791E-01  0.271189E-01  0.813405E-02  0.00000    
     126  0.00000       2
  2  -1.10332     -0.635115E-01 -0.313456      0.00000    
  1 -0.455524E-02  0.292220E-01 -0.116861E-01  0.00000    
     127  0.00000       2
  2  0.427295     -0.183606      0.649430      0.00000    
  1 -0.218046E-01  0.132606E-01 -0.189725E-01  0.00000    
     128  0.00000       2
  2 -0.360436E-01  0.439512     -0.653934      0.00000    
  1  0.884236E-02  0.293197E-01  0.856781E-02  0.00000    
     129  0.00000       2
  2 -0.517034     -0.767407E-01 -0.361098      0.00000    
  1 -0.289338E-01  0.481044E-02 -0.122856E-01  0.00000    
     130  0.00000       2
  2 -0.824305      0.391172      0.598088      0.00000    
  1  0.101711E-03  0.253821E-01  0.191567E-01  0.00000    
     131  0.00000       2
  2  0.456941E-01 -0.575344      0.803810      0.00000    
  1 -0.218195E-01 -0.161241E-01  0.165881E-01  0.00000    
     132  0.00000       2
  2  0.566795     -0.407630     -0.121717      0.00000    
  1 -0.229493E-02 -0.119741E-01  0.293700E-01  0.00000    
     133  0.00000       2
  2  0.222083E-01  0.296543     -0.116107      0.00000    
  1  0.262070E-01 -0.174035E-01  0.464238E-02  0.00000    
     134  0.00000       2
  2  0.300399E-01 -0.477100     -0.338923      0.00000    
  1 -0.219488E-01  0.203523E-01 -0.107367E-01  0.00000    
     135  0.00000       2
  2 -0.256347      0.412128     -0.237175E-01  0.00000    
  1  0.227663E-01  0.142462E-01  0.170289E-01  0.00000    
     136  0.00000       2
  2 -0.198323      -1.38958      0.180507E-01  0.00000    
  1  0.241652E-01  0.285234E-03  0.206689E-01  0.00000    
     137  0.00000       2
  2 -0.768928E-01  0.493298      0.144429E-01  0.00000    
  1 -0.167184E-01  0.166031E-01  0.213558E-01  0.00000    
     138  0.00000       2
  2 -0.617149      0.917309      0.157398      0.00000    
  1 -0.289295E-01  0.857799E-02  0.100371E-01  0.00000    
     139  0.00000       2
  2 -0.253563E-01 -0.421533      -1.06244      0.00000    
  1  0.218764E-01 -0.685539E-02  0.220379E-01  0.00000    
     140  0.00000       2
  2  -1.19004      0.157636      0.472337      0.00000    
  1 -0.259138E-01 -0.182763E-01  0.238538E-02  0.00000    
     141  0.00000       2
  2 -0.176660     -0.174074      -1.17561      0.00000    
  1 -0.150417E-02 -0.209825E-01  0.238477E-01  0.00000    
     142  0.00000       2
  2 -0.913696      0.299732     -0.727166      0.00000    
  1  0.239840E-01  0.581872E-02  0.200537E-01  0.00000    
     143  0.00000       2
  2  0.680622       1.04675     -0.461720      0.00000    
  1  0.223384E-01  0.444990E-02  0.221908E-01  0.00000    
     144  0.00000       2
  2   1.06115      0.197926      0.679123      0.00000    
  1 -0.791891E-02 -0.273851E-01 -0.140921E-01  0.00000    
     145  0.00000       2
  2 -0.307905      0.581858      0.713640      0.00000    
  1 -0.278588E-01  0.152991E-01 -0.103145E-02  0.00000    
     146  0.00000       2
  2  0.315806     -0.498297E-01  0.998331      0.00000    
  1 -0.220594E-02 -0.242032E-01 -0.205080E-01  0.00000    
     147  0.00000       2
  2 -0.122388      0.802625      0.432895      0.00000    
  1  0.194577E-01  0.227585E-01 -0.107092E-01  0.00000    
     148  0.00000       2
  2 -0.792541      0.710117      0.847550      0.00000    
  1 -0.712202E-02 -0.155065E-01  0.268340E-01  0.00000    
     149  0.00000       2
  2  0.345524      0.738015E-01  0.588008E-01  0.00000    
  1  0.940364E-02 -0.238518E-01 -0.188124E-01  0.00000    
     150  0.00000       2
  2 -0.576843     -0.745297      0.153042      0.00000    
  1  0.278316E-01 -0.144853E-01  0.517840E-02  0.00000    
     151  0.00000       2
  2  0.528317     -0.238187      0.748595      0.00000    
  1 -0.141230E-01 -0.284436E-01 -0.165673E-02  0.00000    
     152  0.00000       2
  2 -0.486179      0.163956     -0.330825      0.00000    
  1  0.316113E-01  0.233584E-02  0.255158E-02  0.00000    
     153  0.00000       2
  2  0.119318       1.01039      0.402810      0.00000    
  1 -0.261352E-01 -0.147999E-01  0.104479E-01  0.00000    
     154  0.00000       2
  2  0.185146E-01   1.17690     -0.836661      0.00000    
  1  0.239143E-01  0.181591E-01  0.104686E-01  0.00000    
     155  0.00000       2
  2  0.365831E-01  0.688867      0.993375E-01  0.00000    
  1 -0.139211E-01  0.283904E-01  0.338079E-02  0.00000    
     156  0.00000       2
  2  0.525066     -0.200925     -0.423234      0.00000    
  1  0.273507E-01  0.159735E-01 -0.283372E-02  0.00000    
     157  0.00000       2
  2 -0.196486      0.819496      0.895055      0.00000    
  1 -0.154933E-01  0.276512E-01  0.257034E-02  0.00000    
     158  0.00000       2
  2 -0.405015     -0.946005     -0.597972      0.00000    
  1  0.158418E-01 -0.110752E-02 -0.275509E-01  0.00000    
     159  0.00000       2
  2  0.687521     -0.317681      0.273879      0.00000    
  1  0.188781E-01 -0.230641E-01 -0.110862E-01  0.00000    
     160  0.00000       2
  2  0.459347     -0.754831     -0.601852E-01  0.00000    
  1 -0.262830E-01  0.230690E-02 -0.177517E-01  0.00000    
     161  0.00000       2
  2  0.548808     -0.291409       1.07797      0.00000    
  1  0.202031E-01  0.211412E-01 -0.124950E-01  0.00000    
     162  0.00000       2
  2 -0.547327      0.160581     -0.107270      0.00000    
  1 -0.121267E-01  0.169196E-01  0.240398E-01  0.00000    
     163  0.00000       2
  2  0.593206     -0.653137     -0.926030      0.00000    
  1 -0.124167E-01  0.126817E-01  0.263864E-01  0.00000    
     164  0.00000       2
  2  0.589878     -0.352238      0.604633      0.00000    
  1 -0.344648E-02  0.439842E-02  0.313052E-01  0.00000    
     165  0.00000       2
  2 -0.109797     -0.818072      0.513474      0.00000    
  1  0.722329E-02 -0.183126E-01 -0.249742E-01  0.00000    
     166  0.00000       2
  2  0.816299      0.352160     -0.383497      0.00000    
  1  0.274461E-01 -0.153984E-01 -0.456504E-02  0.00000    
     167  0.00000       2
  2 -0.384900     -0.181387      0.118421      0.00000    
  1  0.277920E-01 -0.257894E-02  0.152379E-01  0.00000    
     168  0.00000       2
  2 -0.171395     -0.350691      0.920782      0.00000    
  1  0.637439E-02 -0.241751E-01 -0.196513E-01  0.00000    
     169  0.00000       2
  2  0.564212      0.817449E-01  0.229165E-01  0.00000    
  1  0.245930E-01  0.108179E-01  0.170117E-01  0.00000    
     170  0.00000       2
  2 -0.542702     -0.404458     -0.493046      0.00000    
  1 -0.187148E-01 -0.111041E-01 -0.231883E-01  0.00000    
     171  0.00000       2
  2  0.809297E-01 -0.229449       1.30774      0.00000    
  1  0.182489E-01 -0.231905E-01  0.118498E-01  0.00000    
     172  0.00000       2
  2 -0.122687      0.408733      0.135387      0.00000    
  1 -0.279628E-01 -0.291899E-04 -0.151433E-01  0.00000    
     173  0.00000       2
  2 -0.458397E-01 -0.334276      0.423711E-01  0.00000    
  1 -0.277260E-02  0.243497E-02 -0.315852E-01  0.00000    
     174  0.00000       2
  2  0.576015      -1.31081      0.126796      0.00000    
  1  0.193743E-01  0.638125E-02  0.243958E-01  0.00000    
     175  0.00000       2
  2  0.405553E-01 -0.379231      0.401430      0.00000    
  1  0.363849E-02 -0.291211E-01  0.122460E-01  0.00000    
     176  0.00000       2
  2  0.188421       1.07468      0.116693      0.00000    
  1  0.275824E-01 -0.814416E-02 -0.135693E-01  0.00000    
     177  0.00000       2
  2  0.527446      -1.15102      0.655335E-01  0.00000    
  1  0.296561E-01  0.130506E-02 -0.114041E-01  0.00000    
     178  0.00000       2
  2  0.660528     -0.170890      0.975240      0.00000    
  1  0.173246E-01 -0.168983E-01 -0.206288E-01  0.00000    
     179  0.00000       2
  2  0.785193     -0.310768     -0.644474      0.00000    
  1 -0.159386E-01  0.695982E-02  0.266226E-01  0.00000    
     180  0.00000       2
  2 -0.430406     -0.638617     -0.114190      0.00000    
  1 -0.567953E-02 -0.254060E-01 -0.182625E-01  0.00000    
     181  0.00000       2
  2 -0.554355     -0.623863      0.364517      0.00000    
  1 -0.905075E-02  0.301993E-01 -0.416280E-02  0.00000    
     182  0.00000       2
  2  0.355790      0.283192     -0.110118      0.00000    
  1  0.220364E-01  0.486097E-02  0.224056E-01  0.00000    
     183  0.00000       2
  2 -0.691149     -0.460729      0.113362      0.00000    
