 DECAY0 generated file: test0nukb+                              

  date and hour         :    4. 6.2019    10:30:30
  initial random number :            0
    
  event type: Xe124           
              0nuKb+    0+ -> 0+, 2+           
              level, Elevel (MeV) =  0+       0.0000     MeV
    
 Format of data:
  for each event    - event's number,
                      time of event's start, 
                      number of emitted particles;
  for each particle - GEANT number of particle,
                      x,y,z components of momentum,
                      time shift from previous time
    
 Time - in sec, momentum - in MeV/c
    
 First event and full number of events:
  2 -0.288438       2.23631     -0.941262E-01  0.00000    
  1 -0.747836E-02  0.878141E-02 -0.296345E-01  0.00000    
     145  0.00000       2
  2   1.60188       1.58066     -0.169217      0.00000    
  1  0.262593E-01  0.452472E-02  0.173556E-01  0.00000    
     146  0.00000       2
  2   1.03907       1.58198      -1.22916      0.00000    
  1 -0.724661E-02  0.596889E-03  0.309576E-01  0.00000    
     147  0.00000       2
  2   1.10053      -1.70616     -0.985394      0.00000    
  1  0.149184E-01  0.268372E-01 -0.827317E-02  0.00000    
     148  0.00000       2
  2   1.78350     -0.366581       1.33338      0.00000    
  1  0.277273E-01 -0.765295E-02 -0.135599E-01  0.00000    
     149  0.00000       2
  2  -1.83636      -1.30848      0.939298E-01  0.00000    
  1 -0.413247E-02 -0.209104E-01  0.235991E-01  0.00000    
     150  0.00000       2
  2 -0.496871E-01  -1.34264      -1.81329      0.00000    
  1 -0.268046E-01  0.170334E-01 -0.161768E-02  0.00000    
     151  0.00000       2
  2  -1.57032      -1.55414     -0.460313      0.00000    
  1 -0.178585E-01  0.224925E-01  0.136528E-01  0.00000    
     152  0.00000       2
  2   1.86019      0.675910      -1.08443      0.00000    
  1 -0.317425E-01  0.612248E-03 -0.181123E-02  0.00000    
     153  0.00000       2
  2 -0.962017      -1.91161      0.716548      0.00000    
  1  0.277049E-01 -0.155740E-01 -0.106294E-02  0.00000    
     154  0.00000       2
  2   1.94496     -0.536703       1.01106      0.00000    
  1  0.251092E-01  0.162196E-01 -0.108487E-01  0.00000    
     155  0.00000       2
  2  -1.34476       1.20839      -1.35077      0.00000    
